index,AccountID,BankName,Cost,Balance,Remain,Open_Date
0,34676499960,Shin Kong,7724834,10969264,637974,1995/12/24
1,71580802636,Land,761542,586388,1714296,1997/06/13
2,91284092580,Taishin,3905473,7537562,9775423,1986/04/23
3,51181361656,Shanghai,3656076,8116488,1562624,2017/09/25
4,70116864077,SinoPac,3150795,7057780,560295,2021/12/15
5,35555062807,LINE,1606164,1076130,1014999,1993/03/25
6,17388791668,E.Sun,3733602,9408677,2989696,2007/02/27
7,69758547797,Hua Nan,3546990,5994413,1844830,1987/10/16
8,70870645256,First,2078591,2972385,8069550,2022/09/27
9,79505284734,Shanghai,6174677,5371969,9851438,2019/08/20
10,15434366504,Shin Kong,598537,496786,1765620,2000/11/05
11,88730222960,Far Eastern,5423123,2874256,1757433,1994/11/29
12,88309794100,Shanghai,7891944,17993632,1914550,2013/09/11
13,08001634639,Kings Town,2744705,1921294,3939935,2013/05/22
14,65718955553,NEXT,2206472,5251403,168692,1980/09/23
15,61350779808,DBS,1549763,3099526,9304907,2020/10/09
16,43332837928,KGI,9750012,13260016,3206546,2023/09/20
17,25097998804,Shanghai,2152783,4520844,3967753,1982/11/19
18,40685758801,Citibank,5705265,11296424,8124788,1989/08/22
19,08624307148,Kings Town,3638402,6912963,5180509,2001/02/03
20,92023756571,LINE,1794589,2907234,3732506,2021/06/07
21,62459004796,Shanghai,9629890,16081916,6691134,2020/07/18
22,25730891369, Cooperative,9721254,16526131,354322,2008/01/17
23,94977384391,CTBC,4862144,11328795,4370276,1998/04/28
24,26910352966,Cathay,9629301,2311033,692413,2021/12/18
25,10507776573,Chang Hwa,3542072,4073382,7732707,2018/04/23
26,68024462712,Union,4196914,1384982,7718557,1987/08/25
27,73035106353,DBS,5284781,3223717,7027280,1995/09/20
28,70089917284,Land,2193827,4716728,9358778,1988/02/07
29,56772638429,KGI,9053837,21367055,9559079,1983/04/23
30,28510722102,KGI,6682062,12094532,1819447,1998/05/30
31,82876192883,Chang Hwa,4696474,2817885,1308184,2024/04/04
32,21532025147,CTBC,1659467,2057739,2227238,2021/11/09
33,82534042042,Fubon,9792509,9694584,5226945,2002/11/27
34,73092515218,Shanghai,8568058,15422504,1523267,2002/11/13
35,15053524414,Hwatai,5563705,5563705,5719056,1989/09/14
36,10670998995,CTBC,8402094,16468104,9266295,2008/03/10
37,43062061781,Shin Kong,9623013,21074398,457355,2022/12/11
38,12502255903,O,7375956,14604392,8827985,1993/11/16
39,16984795211,Shanghai,305012,677126,4887945,1981/02/09
40,44955202095,Rakuten,1051704,967568,5549443,1987/05/08
41,69803188252,Cota,5219717,9969659,7164992,1981/09/12
42,19664793154,Chang Hwa,6544660,7591805,550083,1982/06/28
43,06959266777,Far Eastern,5115458,6394322,8915283,2002/05/05
44,72855280139,O,8236401,19932090,8182421,2012/11/19
45,48475423808,DBS,4249577,2422259,1179712,2002/09/06
46,96197838895,LINE,9142515,8959665,9687283,1981/10/08
47,81146126763,NEXT,1301910,1171719,4952253,2000/12/06
48,47072030809,Hua Nan,8302989,7721780,1725495,2002/10/29
49,47333491819,Shin Kong,128540,156818,6815295,2014/09/10
50,33208159124,Chang Hwa,7440896,2157860,9906330,1997/06/21
51,43309759626,LINE,4910233,12128275,6535921,2009/04/29
52,30835407333,LINE,4442977,4487406,7545988,1985/05/08
53,32439960337,Rakuten,8549793,6241349,3241072,1987/11/12
54,05080143617,Union,150509,123418,9898580,2014/04/07
55,31560750777,Mega,8339692,10341218,4766404,1997/07/02
56,04067234675,EnTie,1738496,782324,9535574,2018/06/09
57,78978473034,Kaohsiung,5689853,6941620,4305638,2019/01/12
58,41693980973,Kings Town,4428598,10451491,3030364,2018/07/09
59,23492382003,Shanghai,696991,362436,3286607,2021/02/15
60,04575707521,NEXT,7656226,17073383,3031829,1993/05/22
61,72706223274,Land,3170258,1141293,5526246,1985/11/23
62,97643938782,O,652351,808915,5433774,1988/04/30
63,20468219224,Kaohsiung,4624887,11238475,2010637,2001/02/17
64,36595982786,Cathay,2969707,3058798,3259352,2019/10/08
65,02645549376,Hwatai,7888834,17670988,344358,1990/09/06
66,11741604739,E.Sun,6417572,15209645,6013330,1991/01/07
67,66216222983,Kings Town,4781661,4590395,2046294,1985/08/20
68,72029588437, Cooperative,3485379,2997426,2686488,2001/10/01
69,98331783495,SinoPac,24835,36507,6556218,2017/05/07
70,92184173431,Mega,5484694,12450255,136556,2005/07/24
71,42989004047,Sunny,5121496,1382804,5726836,2007/12/30
72,31192860439,SinoPac,4731351,2460303,5265856,2012/11/11
73,80088871459,Taishin,3676076,5036224,9657231,1989/03/06
74,79096502268, Cooperative,8571595,1971467,8273829,2002/09/11
75,30839784073,First,9433526,10942890,1798247,2005/01/17
76,41155219231,Sunny,7792568,7714643,4457803,2015/10/19
77,24165246635,Yuanta,1134335,1848966,8347026,1995/04/30
78,28751994022,LINE,6851879,3974090,9415063,2009/08/14
79,83786841775,Panhsin,4715193,8298739,4999369,2012/09/10
80,78025648989,LINE,8708547,7489351,5649994,2001/07/09
81,98297069714,Chang Hwa,8883617,16079346,8877909,1994/09/13
82,22259735992,KGI,5810621,8832143,9807911,1994/10/26
83,69725196765,First,2298497,4528039,1490519,2001/09/23
84,05073220437,LINE,6880689,6399041,4507020,2001/02/05
85,72483386419,Cathay,8827678,21186427,6135755,1997/05/16
86,36297921606,First,8509157,18549962,8301477,1982/03/25
87,66072907344,Kings Town,3653766,8257511,3920213,2014/06/22
88,37336936388,Hua Nan,2295872,2548417,1091228,2015/05/03
89,07408478866,Land,2742966,6336251,6966817,1983/08/20
90,74866228760,KGI,7380328,2287902,4783098,2001/01/02
91,44801408107,Cota,2018474,3915839,5089197,2004/09/27
92,36644011098,KGI,7480209,4562928,3174741,1989/02/04
93,31034800746,Fubon,5880830,13114250,393084,2008/08/06
94,24901514280,Cathay,1339052,1352442,2243236,2002/09/24
95,40127188513,Land,7781804,18365057,4026779,1997/05/04
96,85916066485, Cooperative,5479887,5808680,2440890,1989/05/13
97,45263034035,Hwatai,5998408,9777405,8103175,1983/05/26
98,24492905309,First,2272216,1454219,362614,2009/05/01
99,79890377297,Mega,2506005,5387910,1477858,1997/03/16
100,01281672756,KGI,2333725,4970834,3081016,1982/12/11
101,32391916585,Panhsin,450376,855714,8367898,2003/03/14
